url	query	annotation
https://live.staticflickr.com/8380/29237818512_ebfa8f5d04_f.jpg	street	This is a sidewalk near a large intersection in a commercial district of a city.  There are large trucks, a bus, and several cars waiting at a red traffic light.
https://live.staticflickr.com/8380/29237818512_ebfa8f5d04_f.jpg	people	A bald man in a t-shirt and glasses is standing next to a group of parked 'Bay Area Bike Share' bicycles.  Nearby, a man and woman in sunglasses are entering a building.
https://live.staticflickr.com/8380/29237818512_ebfa8f5d04_f.jpg	building	This is a modern office tower about 20 stories tall.  It is located in the Bay Area of California. Bike share bicycles are parked in front of the building
https://live.staticflickr.com/7099/6986732830_6bf3cb48fb_k.jpg	landscape	This landscape is rough, dark, wobblty to walk on and unstable. It is made of nothing else but rocks of a dark black color.
https://live.staticflickr.com/7099/6986732830_6bf3cb48fb_k.jpg	animals	Looking out of this rocky cave you can see a dog standing at the top of the sloped hill that goes down into the cave entrance.
https://live.staticflickr.com/7099/6986732830_6bf3cb48fb_k.jpg	location	This is a cave made of dark small rocks. It looks out onto a mountain range in the distance but besides that view it is nothing but these rocks all around.
https://live.staticflickr.com/3041/2935427621_6961001614_k.jpg	building	Whatever this burned out husk of a building once was, it now serves as a home for those with nowhere else to go.
https://live.staticflickr.com/3041/2935427621_6961001614_k.jpg	small objects	The only evidence of inhabitants is the cans and bottles they have scattered across the floor.
https://live.staticflickr.com/3041/2935427621_6961001614_k.jpg	interior	The interior floor of this space is covered with cardboard, its walls are shiny with graffiti.
https://live.staticflickr.com/3937/32583151133_e69e224f1b_f.jpg	trees	Several bare trees with narrow trunks line a long metal fence off in the distance.
https://live.staticflickr.com/3937/32583151133_e69e224f1b_f.jpg	arthitecture	There is an very old looking brick bridge with plants handing down off the side of it.
https://live.staticflickr.com/3937/32583151133_e69e224f1b_f.jpg	people	There are two men on dirt bikes near the left side of a brick wall.
https://live.staticflickr.com/1919/44749566374_72bc042dee_o.jpg	weather	Although there are dark green fir trees, the rest of the nearby hills of the valley have a reddish, dull look to them that suggests missing or seasonally altered leaves. The plants in the garden also look more like they're late summer or early fall variety, which means the temperatures would be cooler. The sun is out but the sky is overcast with wispy cloud cover.
https://live.staticflickr.com/1919/44749566374_72bc042dee_o.jpg	location	This is a stone balcony that on what appears to be a castle, as based on the fact that it has a stone tower similar to those seen on European castles on the area below the balcony. That said, the lighter colored plaster used on the walls and tower above balcony could mean that it's southeastern rather than eastern or central Europe. The location is along a river in a valley that features a town along the bend of the river.
https://live.staticflickr.com/1919/44749566374_72bc042dee_o.jpg	plants	The balcony also features a cordoned area with a small wooden fence. This area has a garden of various types of plants. Each plant has a sign next to it to describe the type.
https://live.staticflickr.com/65535/46978075275_b4dd91788c_o.jpg	interior	The image is captured from the interior and center of a Church that is carpeted in a rich red texture, lined with a series of pews that allow a walkway down the middle of the establishment. The front of the Church displays a short series of steps to a stage that leads to an altar and two podiums that are situated on each side of the stage.
https://live.staticflickr.com/65535/46978075275_b4dd91788c_o.jpg	furniture	There are a few basic, movable wooden chairs that are placed at the front of the vast lineup of wooden pews facing the stage at the front of the Church pictured.
https://live.staticflickr.com/65535/46978075275_b4dd91788c_o.jpg	art	There are stained glass windows depicting scenes of religious significance that can be found at both the front and back of the Church along with on the side walls of the establishment.
https://live.staticflickr.com/2870/33031681010_2a6a61b61c_f.jpg	sea	Gray blue water in this body of water is almost certainly a bay or part of a sea, one clue is the very large cruise type ship with the word Sea on it. it's only likely to be used in a location with access to a sea to cruise on, not a small bay.
https://live.staticflickr.com/2870/33031681010_2a6a61b61c_f.jpg	people	A man jumps upward, we see his legs spread wide and his arms also splayed outward, he has long hair, wears a dark or black shirt and grayish pants.
https://live.staticflickr.com/2870/33031681010_2a6a61b61c_f.jpg	furniture	A set of very large benches with declined backs interestingly formed, are located beside the sea, so persons can sit here and watch the sea. They are made of unfinished boards.
https://live.staticflickr.com/4032/4524785827_0404fbf25e_o.jpg	art	The around the places looks beautiful and bright people work very hard for the result.
https://live.staticflickr.com/4032/4524785827_0404fbf25e_o.jpg	activity	The image looks like there is a activity like death tribute to the people who are died in some natural disasters.
https://live.staticflickr.com/4032/4524785827_0404fbf25e_o.jpg	people	A group of people are gathered at here to show some respect to the people who are died.
https://live.staticflickr.com/7713/17662849669_ad0e9f1662_h.jpg	lake	Here's a nice lake that covers half the area, you can see how the lights are reflecting off it pretty nicely and it looks beautiful.
https://live.staticflickr.com/7713/17662849669_ad0e9f1662_h.jpg	weather	it's partially cloudy on a beautiful night, which makes setting the tone for this place all the more great. If you look up, you can see one single lonely star.
https://live.staticflickr.com/7713/17662849669_ad0e9f1662_h.jpg	building	If you're a fan of the color yellow, then you will appreciate all the lights that are on in every building. They tower over every tree you can see.
https://live.staticflickr.com/3065/2694116542_c79da7b164_o.jpg	houses	There is a two story home in a Spanish theme of architectural design, that includes clay tile roofing, white wash exterior walls, and ornate detailing finishes that makes it appear stylized.
https://live.staticflickr.com/3065/2694116542_c79da7b164_o.jpg	garden	The house is framed by a large yard that was once very nicely landscaped, but now has been allowed to become overgrown and sparse in spots from underwatering. There are large, very mature trees sporadically placed around the yard, as well as a row of hedges that line a pathway toward the house. There is patches of very dead weeds in the middle of the yard.
https://live.staticflickr.com/3065/2694116542_c79da7b164_o.jpg	building	In the distance beyond the yard, there is a grouping of buildings that look industrial in nature. They are likely sheds or farm related storage buildings. They are made of corrugated metal in a tan to white tone of color. They are not much taller than the trees surrounding them, so only the tops can really be seen.
https://live.staticflickr.com/2493/4149210392_0ccf31013c_4k.jpg	interior	The image features the interior of a work shop where series of evenly cut stacks of wood can be seen lined against the walls with a large drill situated towards the center of the room and saw and other tools located on the behind it.
https://live.staticflickr.com/2493/4149210392_0ccf31013c_4k.jpg	small objects	Bags, hand tools, and related wood working hardware can be seen on both the floors and tables that are situated towards the back of the work shop pictured.
https://live.staticflickr.com/2493/4149210392_0ccf31013c_4k.jpg	location	The location featured in this image is clearly a workshop due to the lack of furniture and 'homey' space in general. Instead, this indoor warehouse is lined with plywood walls and stacks of cut wood. In addition, all else that can be found is hardware, saws, heavy machinery, and some personal items that someone would take with them to work.
https://live.staticflickr.com/7866/47017364571_df2f09b3b5_o.jpg	cars	On the inside of the fencing, there is a series of parallel cars that are parked in the one way street outside of the residential efficiencies that line down the sidewalks of the featured road.
https://live.staticflickr.com/7866/47017364571_df2f09b3b5_o.jpg	people	People can be seen walking by on the sidewalk outside of the fencing that guards the private property featured.
https://live.staticflickr.com/7866/47017364571_df2f09b3b5_o.jpg	location	The image is set in a city square on a small street that appears lined with residential two story efficiencies before reaching a gate that seems to prevent outsiders from freely walking in. Outside of this fencing is a sidewalk and street, before reaching some much taller buildings on the opposite side of the road.
https://live.staticflickr.com/65535/48556483461_2b397aa2e2_f.jpg	people	Tourists are walking in small groups as they visit a place with obvious historical significance.
https://live.staticflickr.com/65535/47647069692_1e4f91175a_f.jpg	interior	Shown is the interior of an opulent shopping center made mostly out of golden metal and glass.
https://live.staticflickr.com/65535/52199824696_a48dcc74c4_f.jpg	location	centered around a river with a paddle wheel for power
https://live.staticflickr.com/65535/52213955799_426f9ba610_o.jpg	furniture	all the furniture must be unique and neat
https://live.staticflickr.com/65535/52233164830_c8797a82cc_o.jpg	location	This is a hardscrabble rocky area set near a melting iceberg in the arctic.
https://live.staticflickr.com/65535/52206125456_8401b9bbdc_k.jpg	location	The checkered painted cliff overlooks a large city with skyscrapers.
https://live.staticflickr.com/65535/48556621347_e31821b9f7_f.jpg	location	This is a massive round interior of a vast cathedral which is full of tourists..
https://live.staticflickr.com/65535/48555314726_2285e309ac_f.jpg	location	The center of an indoor room which is circular in shape. The walls are lined with windows and the ceiling is dome shaped.
https://live.staticflickr.com/65535/52216167811_f52b0ef323_o.jpg	plants	the plants was grow fast and healthy growth
https://live.staticflickr.com/4831/45044238245_4a9a329c59_f.jpg	building	This is the inside of an office building from a balcony. The balcony overlooks a large corridor.
https://live.staticflickr.com/65535/48915816243_71a56e3e6e_f.jpg	what they are doing	A crowd of tourists walk around a monument in the center of town watch the sights.
https://live.staticflickr.com/65535/48068593533_43babf7f4a_f.jpg	street	This is a middle of a street. It is surrounded by various office buildings and cars.
https://live.staticflickr.com/65535/52195641576_819c97cdd5_o.jpg	mountains	White ice seen on upper mountains, exposing gray granite like stone.
https://live.staticflickr.com/65535/52232234688_6d5ba44aa8_o.jpg	landscape	The landscape is fantastic with lots of green trees that are good for shades and relaxing.
https://live.staticflickr.com/1558/25274839366_8082cf8e21_f.jpg	location	This is a path leading from a front gate to a rustic home, with the path having wavy designs on the bricks.
https://live.staticflickr.com/3489/3201365556_15130d1442_k.jpg	building	This is a small courtyard surrounded by older buildings of stone or painted stucco.  There are three buildings that surround three sides with a small road and another building creating the other side.
https://live.staticflickr.com/5725/23866502566_adf90a2847_k.jpg	location	This is a ravine in the center of a mountainous area with trees sprouting upwards.
https://live.staticflickr.com/65535/49096623101_c60a39cff7_o.jpg	location	The top of a snowy mountain, looking down at yellow pastures and forested areas, with low rolling hills dropping the landscape below the mountain.
https://live.staticflickr.com/1332/1029767152_60a0231103_o.jpg	people	Eight hikers are standing in a wide circle around the camera.  There are two couples plus one woman and three men.
https://live.staticflickr.com/4876/32680159228_55a3a07aa8_k.jpg	monuments	This monument is a statue of an Egyptian Pharoah. It's a black statue on a white pedestal.
https://live.staticflickr.com/65535/50951896601_f2576f204f_o.jpg	location	This is a short, flat 4-lane bridge over a canal.  The bridge is very brightly lit by yellow lights.  A bus shelter is on the bridge.
https://live.staticflickr.com/4300/36019202621_9a051b3701_o.jpg	location	The image is set in an empty Church with a ceremonial surrounding. Overall, the location is very clean and well-lit with the stained glass windows bestowing lovely color from the sun shining through.
https://live.staticflickr.com/8570/30274252596_a4caa70945_f.jpg	rivers	The image captures an angle of a large open river that extends as far into the horizon as one can see. This river is divided with small islands and coves, as pictured here.
https://live.staticflickr.com/2288/2264843284_8fa5d7e26f_o.jpg	interior	This is the interior of a large industrial workspace.  From this location you can see large pieces of equipment and garage doors leading to other work spaces within the building.
https://live.staticflickr.com/7842/45982043285_51c29354d1_o.jpg	rivers	This is a river that is winding through some hills. There are some rocks in the river that create a bit of whitewater.The rocks even create some mini waterfalls.
https://live.staticflickr.com/4649/28356863959_6cbe9582e9_o.jpg	location	This is a stage on a pier by the sea surrounded by wood buildings filled with shops.  The stage is labelled 'CENTER STAGE' on the bottom and has a 'PIER 39' sign on top.
https://live.staticflickr.com/7216/7341911876_358577acf8_b.jpg	interior	This resembles an abandoned building with concrete floors and walls, with windows on two sides.
https://live.staticflickr.com/2502/4198160932_3e15fa8872_k.jpg	location	This is an empty fountain in the middle of a landscaped courtyard, surrounded by buildings in the distance.
